time,"price",return,pecentage return
2014-11-07,"2,502.15",-0.001564202,-0.16%
2014-11-10,"2,565.73",0.025410147,2.54%
2014-11-11,"2,558.61",-0.002775039,-0.28%
2014-11-12,"2,594.32",0.013956797,1.40%
2014-11-13,"2,579.75",-0.005616115,-0.56%
2014-11-14,"2,581.09",0.00051943,0.05%
2014-11-17,"2,567.10",-0.005420191,-0.54%
2014-11-18,"2,541.42",-0.010003506,-1.00%
2014-11-19,"2,537.22",-0.001652619,-0.17%
2014-11-20,"2,537.10",-4.72959E-05,0.00%
2014-11-21,"2,583.46",0.018272831,1.83%
2014-11-24,"2,649.26",0.025469719,2.55%
2014-11-25,"2,685.56",0.013701939,1.37%
2014-11-26,"2,723.02",0.013948674,1.39%
2014-11-27,"2,754.49",0.011557021,1.16%
2014-11-28,"2,808.82",0.019724159,1.97%
2014-12-01,"2,819.81",0.003912675,0.39%
2014-12-02,"2,923.94",0.03692802,3.69%
2014-12-03,"2,967.55",0.014914807,1.49%
2014-12-04,"3,104.35",0.046098634,4.61%
2014-12-05,"3,124.89",0.006616522,0.66%
2014-12-08,"3,252.88",0.040958242,4.10%
2014-12-09,"3,106.91",-0.044874081,-4.49%
2014-12-10,"3,221.55",0.036898397,3.69%
2014-12-11,"3,183.01",-0.011963185,-1.20%
2014-12-12,"3,193.23",0.003210797,0.32%
2014-12-15,"3,217.23",0.007515901,0.75%
2014-12-16,"3,303.40",0.02678391,2.68%
2014-12-17,"3,360.60",0.017315493,1.73%
2014-12-18,"3,345.93",-0.004365292,-0.44%
2014-12-19,"3,383.17",0.01112994,1.11%
2014-12-22,"3,394.48",0.003343019,0.33%
2014-12-23,"3,324.92",-0.020492093,-2.05%
2014-12-24,"3,230.39",-0.028430759,-2.84%
2014-12-25,"3,335.42",0.032513102,3.25%
2014-12-26,"3,445.84",0.033105276,3.31%
2014-12-29,"3,455.46",0.002791772,0.28%
2014-12-30,"3,457.55",0.00060484,0.06%
2014-12-31,"3,533.71",0.022027158,2.20%
2015-01-05,"3,641.54",0.030514672,3.05%
2015-01-06,"3,641.06",-0.000131812,-0.01%
2015-01-07,"3,643.79",0.000749782,0.07%
2015-01-08,"3,559.26",-0.023198373,-2.32%
2015-01-09,"3,546.72",-0.003523204,-0.35%
2015-01-12,"3,513.58",-0.009343844,-0.93%
2015-01-13,"3,514.04",0.000130921,0.01%
2015-01-14,"3,502.42",-0.003306735,-0.33%
2015-01-15,"3,604.12",0.029037066,2.90%
2015-01-16,"3,635.15",0.008609591,0.86%
2015-01-19,"3,355.16",-0.077022956,-7.70%
2015-01-20,"3,396.22",0.012237866,1.22%
2015-01-21,"3,548.89",0.044952918,4.50%
2015-01-22,"3,567.61",0.005274889,0.53%
2015-01-23,"3,571.73",0.001154835,0.12%
2015-01-26,"3,607.99",0.010151943,1.02%
2015-01-27,"3,574.93",-0.009162997,-0.92%
2015-01-28,"3,525.32",-0.013877195,-1.39%
2015-01-29,"3,481.80",-0.012344979,-1.23%
2015-01-30,"3,434.39",-0.01361652,-1.36%
2015-02-02,"3,353.96",-0.023419006,-2.34%
2015-02-03,"3,437.45",0.024892962,2.49%
2015-02-04,"3,401.77",-0.010379787,-1.04%
2015-02-05,"3,366.95",-0.010235848,-1.02%
2015-02-06,"3,312.42",-0.016195667,-1.62%
2015-02-09,"3,345.92",0.010113452,1.01%
2015-02-10,"3,406.94",0.018237137,1.82%
2015-02-11,"3,434.12",0.007977833,0.80%
2015-02-12,"3,442.87",0.00254796,0.25%
2015-02-13,"3,469.83",0.007830676,0.78%
2015-02-16,"3,499.48",0.008545087,0.85%
